物品数量,背包容量,蛮力法价值,蛮力法时间(ms),动态规划价值,动态规划时间(ms),贪心算法价值,贪心算法时间(ms),回溯法价值,回溯法时间(ms)
10,100,2184.28,0.000,2184.28,0.000,2184.28,0.000,2184.28,6.000
10,1000,916.12,0.000,916.12,0.000,916.12,0.000,916.12,0.000
10,5000,4024.49,0.000,4024.49,10.000,4024.49,0.000,4024.49,0.000
10,10000,4801.10,0.000,4801.10,11.000,4801.10,0.000,4801.10,0.000
10,100000,4801.10,0.000,4801.10,9.000,4801.10,0.000,4801.10,10.000
12,100,3204.53,0.000,3204.53,0.000,3204.53,0.000,3204.53,0.000
12,1000,964.78,0.000,964.78,0.000,964.78,0.000,964.78,0.000
12,5000,4887.92,0.000,4887.92,10.000,4887.92,0.000,4887.92,2.000
12,10000,6621.43,2.000,6621.43,2.000,6621.43,2.000,6621.43,2.000
12,100000,6621.43,0.000,6621.43,11.000,6621.43,0.000,6621.43,0.000
15,100,3204.53,10.000,3204.53,0.000,3204.53,0.000,3204.53,0.000
15,1000,964.78,0.000,964.78,0.000,964.78,0.000,964.78,0.000
15,5000,5151.06,10.000,5151.06,0.000,5151.06,0.000,5151.06,0.000
15,10000,7567.45,11.000,7567.45,0.000,7520.27,0.000,7567.45,0.000
15,100000,8057.66,10.000,8057.66,10.000,8057.66,11.000,8057.66,0.000
18,100,4123.84,30.000,4123.84,0.000,3989.23,0.000,4123.84,0.000
18,1000,964.78,27.000,964.78,4.000,964.78,0.000,964.78,0.000
18,5000,5837.32,20.000,5837.32,10.000,5837.32,0.000,5837.32,0.000
18,10000,8982.22,33.000,8982.22,0.000,8982.22,0.000,8982.22,0.000
18,100000,9986.99,35.000,9986.99,15.000,9986.99,0.000,9986.99,0.000
20,100,4593.10,114.000,4593.10,0.000,4458.49,0.000,4593.10,5.000
20,1000,964.78,112.000,964.78,0.000,964.78,0.000,964.78,0.000
20,5000,6046.72,113.000,6046.72,0.000,6046.72,0.000,6046.72,0.000
20,10000,9513.78,111.000,9513.78,0.000,9442.42,13.000,9513.78,0.000
20,100000,11154.49,109.000,11154.49,23.000,11154.49,3.000,11154.49,0.000
25,100,3094.55,4006.000,3094.55,3.000,3094.55,1.000,3094.55,0.000
25,1000,959.76,3994.000,959.76,10.000,907.24,0.000,959.76,0.000
25,5000,4679.61,3987.000,4679.61,0.000,4343.31,0.000,4679.61,0.000
25,10000,9334.07,3863.000,9334.07,0.000,9255.22,0.000,9334.07,10.000
25,100000,15288.59,3989.000,15288.59,31.000,15288.59,0.000,15288.59,10.000
50,100,0.00,0.000,3931.10,0.000,3931.10,0.000,3931.10,0.000
50,1000,0.00,0.000,935.97,0.000,889.95,0.000,935.97,0.000
50,5000,0.00,0.000,5641.72,14.000,5641.43,0.000,5641.72,0.000
50,10000,0.00,0.000,10565.94,7.000,10211.27,0.000,10565.94,0.000
50,100000,0.00,0.000,24274.56,51.000,24274.56,10.000,24274.56,10.000
100,100,0.00,0.000,5828.56,2.000,5711.78,0.000,0.00,0.000
100,1000,0.00,0.000,981.50,0.000,981.50,0.000,0.00,0.000
